"company","Jun-2014","Jul-2014","Aug-2014","Sep-2014","Oct-2014","Nov-2014","Dec-2014","Jan-2015","Feb-2015","Mar-2015","Apr-2015","May-2015","Jun-2015","Jul-2015","Aug-2015","Sep-2015","Oct-2015","Nov-2015","Dec-2015","Jan-2016","Feb-2016","Mar-2016","Apr-2016","May-2016","Jun-2016","Jul-2016","Aug-2016","Sep-2016","Oct-2016","Nov-2016","Dec-2016","Jan-2017","Feb-2017","Mar-2017","Apr-2017","May-2017","Jun-2017","Jul-2017","Aug-2017","Sep-2017","Oct-2017","Nov-2017","Dec-2017","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018","Jun-2018","Jul-2018","Aug-2018","Sep-2018","Oct-2018","Nov-2018","Dec-2018","Jan-2019","Feb-2019","Mar-2019","Apr-2019","May-2019"
"EICHERMOT.NS","0.08346639232724173","0.16966492274439493","0.04454983320756882","0.1955043951183425","0.17408832746929592","0.07947142429641746","0.13981608157631295","0.051064624154172844","0.08514453500673745","-0.008193595163161083","-0.018584299927726","-0.042754122307152","0.22454442495132157","0.0838433530252275","-0.062361520592359394","-0.043168997911507","0.0014787313384631625","-0.017001994285531237","-0.09668215785440422","0.06979536477014268","-0.01709769686404221","0.12361036034004926","0.009135985876611777","0.031172614078514887","-0.057473793345745885","0.02361431240620469","0.16549638023609442","0.020111841456819293","0.13269405514875915","-0.018421283272067768","-0.12317052546872222","0.014489600281009934","0.06685341650086161","-0.013316890397398045","0.07735231310855974","0.009673722727185958","0.11642123672033827","-0.035653944501036906","0.13849515731802176","0.00849393666946529","-0.019674274382852058","-0.00698299418787537","-0.053311050329368115","0.020911218664332383","-0.06174979804660562","-0.010874434428565095","0.01969912255202028","0.07894989864401575","-0.021407321004389197","-0.05628281623997833","-0.03153858634523564","0.062419373149489824","-0.14319494939259933","-0.11141236756298104","0.07162577471026772","-0.015793118416856215","-0.1522605756187249","0.014509129770381995","0.0049978783531430095","0.02577259072658759"
"HEROMOTOCO.NS","-0.0227180330737064","0.10818114946249949","0.006694438951406882","0.07353163521192231","0.043368602889331136","0.04730508370600639","0.08201732827624068","-0.04680922338537275","-0.08765371680002398","-0.07364467654033599","0.011925915050573329","-0.10026929850993144","0.14686254071222332","-0.06988912624272577","0.07002299159494271","-0.11614334237074897","0.011829563400891861","0.05547163040228879","0.05206493333288104","0.002856148513450675","-0.056011585530213986","0.0519206409227073","0.12225860027414359","-0.015825044241856042","0.0636116273350744","0.031384543430262056","0.00910213802144681","0.10343550268833683","0.001470462831024903","-0.0428695394127387","-0.053335112221773985","-0.05011824016746611","0.08460493969468925","-0.0331005868470559","0.02411274052094479","0.047093266487313115","0.11345252156524781","0.019682175976486915","-0.012777813338594375","0.08613538469245886","-0.05994141991000228","0.003441674745459864","-0.056370817128920246","0.04024636858421527","-0.004307684432499213","-0.026920583225085472","0.019318454424961027","0.004964314073633714","-0.01031630461801447","-0.05815850957523406","-0.01757325596858996","-0.011568627404260467","-0.08310079338143235","-0.06079713745660606","0.0886918613196845","0.028849676312502452","-0.10242678696112022","-0.0287190702372185","-0.043765919311907535","-0.0026578264608168633"
"M&M.NS","0.12195008461141547","-0.03627195409326589","0.00534020550002794","0.19520502342980986","-0.009762330853463062","-0.08786377544719776","0.021734752577996223","-0.04482275190895992","0.0033548291054930424","0.02976952317139037","-0.05950012592248493","0.0003327292970455789","0.0462369580318725","0.02376597208583535","0.058465392407551525","-0.1201138047723028","0.06188432019136269","-0.032958744841155","0.13239858401899118","-0.07564469736130892","-0.030821531220004503","0.0340441944397132","-0.057487735590435254","0.11826488000412877","-0.0020949927725079326","0.09698216366806338","0.021595894073688456","-0.011291348566496237","-0.006673347753182896","-0.08137968389539624","-0.12534391009110304","0.06008101495977925","0.059033940779277844","0.035588119504281514","-0.046153786519632464","0.04232405249883502","0.06286595786293445","-0.041255972416528626","0.06609251359535505","-0.05712791255328894","-0.06181356522162144","0.0683777330498218","0.04342038841676501","0.05669079554600289","0.07265150416148018","-0.0828794815413962","0.021158948444910317","0.15386674845811274","0.04454607536081829","-0.016581593346771038","0.057126005791722265","0.01941380801290668","-0.10571852001331743","-0.10801084307723009","0.006613319329885368","0.016161866098078154","-0.10984671188507276","-0.05621733098603148","0.017238743717308127","-0.022696322371445397"
"GRASIM.NS","0.07587967956592323","0.07946796532117219","-0.05688020846142997","0.12448020726145109","0.0055100617245207525","0.010505079955136552","-0.007009835480079636","-0.029465577747237365","0.11926475493687809","0.047002457049879175","-0.07354529800346954","-0.0186923578321722","-0.0031857248149457723","-0.026831744584768988","0.06306030131235751","-0.08503974532818194","0.06815901683450289","0.045917177006553365","0.011704468132180838","0.00892970173069814","-0.08741329302780182","-0.003940625882115672","0.12495522477021387","0.056569188649759475","0.07007314395680342","0.06594377813184028","0.07426899664367678","-0.07705428497268481","0.09832002636534617","-0.017947125588913697","-0.0929928599743021","0.0004008393668897969","0.07603438725309529","0.07023457010274993","0.04464572805793525","0.09761155097511968","-0.008975433601523676","0.12303059232443331","0.10592503610414711","0.06489901352709729","-0.00543817712118549","0.07609359308450409","-0.07764780691903275","-0.005650005633722438","0.03929382201082716","-0.018756935544769163","-0.06630376672790289","0.005967452702127095","-0.06119104884629003","-0.04024491874309208","0.043603803756963294","0.04055827096421318","-0.06308920877280479","-0.15344948248583792","0.0225914906013393","-0.035914624291221546","-0.13743249910017993","0.10125876178440064","0.0828544060625197","0.04892985732118354"
"ULTRACEMCO.NS","0.09844446419977633","0.07335826141054129","-0.056783639033934796","0.06955009414496434","0.0019860178117887713","-0.03352542905605839","-0.031934126218624216","0.07436859595978255","0.15945547707654859","0.0915922293894132","-0.144251941325021","-0.060564439687515154","0.10939240493190985","0.01748519242705045","0.034516642788428115","-0.10149101193102489","-0.021400092244025077","0.05561659024219252","-0.021706400985460415","-0.014018096203563092","-0.0016642747637862696","0.02341008678347956","0.11035238853945852","-0.008615043929068611","0.01641953927855793","0.060667518233595945","0.09989455622088189","0.08179568927915011","-0.0330920879950336","0.012294896332834178","-0.1021059653683802","-0.05582931296170495","0.12113835484618295","-0.012871174926802436","0.07923932484075807","0.04451470683206544","-0.001818728667716337","-0.04751864512469708","0.019743960757561376","-0.016777891784041477","-0.02615262203235948","0.1364055427330152","-0.054526272493703","0.016989369505821864","0.03181371323141615","-0.054230505351485596","-0.042086970441699484","0.009551346536484996","-0.08175034210122133","0.024172071820353525","0.11306261420897488","0.0430474257149922","-0.09908423896409695","-0.08592204791893313","0.12365169023027377","-0.009340264146281183","-0.13108601601896008","0.11330076417076189","0.04516093121410622","0.13884292710003693"
"ASIANPAINT.NS","-0.036291544866820485","0.15408034885324234","0.06962431259840166","0.008486524555499893","0.005720934051690383","0.034668334358594934","0.2194766751429565","-0.060096586148331625","0.0786892541294936","0.02165561674777733","-0.004723581287803878","-0.05147883056807841","0.013279365149388614","-0.031150027091856766","0.1533911214853972","-0.06655271238869209","0.025088579569880507","-0.008737194775291944","0.01746785205711429","0.040433221679155716","0.009843593790553377","-0.017410425497415075","-0.002236298009312021","-0.005977016515001686","0.18142922971641748","-0.013555654316407113","0.11810453085372936","0.032161794588686","0.03115943091752496","-0.09524433835595747","-0.12775138635359679","-0.03673530097802134","0.09545121427599744","0.042129080783341134","0.05528925190882032","0.020415728980580573","0.043476232799205934","-0.029873757951531976","0.024949849213803166","0.05896191348605621","-0.05518545513143685","0.02593232842955561","-0.0358859100778901","0.008732072246594608","0.008175639590043143","-0.029575052643287757","0.027929222507296254","0.06273099969630641","0.05788257792101729","0.004725315406931927","0.11148057399030675","-0.052602254701854104","-0.060076369224136644","-0.04616121266844668","0.09927730098161633","0.024538805708823015","0.06244752210278264","-0.04450314107923003","0.07210832458117558","-0.03761515592028138"
"BRITANNIA.NS","0.011002884092119797","0.14013241238133944","0.18544025138993506","0.09839057198579047","0.10795191893901299","0.07813263647875061","0.11845254149629812","0.08575160928147628","0.0374556426984416","0.11699385948647378","0.025989459511799984","0.03253175620895983","0.14210104574085985","0.06373308123351618","0.1612117570142586","-0.06884597529419619","0.06912257830532735","0.020417564522255627","-0.0675085192180908","0.005034625507249281","-0.062248807589569896","0.014711573950293018","-0.057233282226341664","0.06694126212661888","-0.03264049282003501","0.015623220132314037","0.040845125538387136","0.18290196430029523","0.02235019821774531","-0.04446908989042806","-0.09824166247115476","-0.03892982889087765","0.12067460618670713","-0.016619458637263027","0.06623698613752121","0.05373112526097135","0.00894249518354286","0.027138976307092274","0.06712304350063995","0.08610624942002863","0.022639157800940647","0.08230351843719651","0.023145445711801205","-0.014090850411120424","0.00047700821836654377","0.042898441887077705","0.03300654990664741","0.06226704721616549","0.07141321869409027","0.07234457502904859","0.05763243774715524","0.011710576436570034","-0.11001145911755027","-0.04457914179022208","0.10853584349361037","0.0027629823881079154","0.04767888002569567","-0.05344509381728699","-0.00890402209765216","-0.08747972537239106"
"HINDUNILVR.NS","0.020459955202986293","0.05874189134330256","0.10288604245780644","0.0675510748207417","-0.005740032477331531","0.013336581589628442","0.09299200606651052","-0.062078890906629436","0.19717845241623902","0.030451610656245406","-0.05573663309468778","-0.02461804039718973","0.022106193071316633","0.05356739323902687","-0.009365071425486265","-0.06150380066824164","-0.043748175987796616","-0.008509983179006258","0.03818127097605979","0.027777745430461333","-0.06491157780818263","0.02896566798237249","0.052963685398464","-0.00443656018923106","-0.010185697074197692","0.06122503003381623","0.030525957214766017","0.0008648913151175689","-0.06162247668819496","-0.030447676073421026","0.015384444682832756","-0.026824587784849602","0.034773124764005854","0.02511561536455021","0.05157062681752227","0.008092096816708737","0.18020681627476257","0.011191876279761266","0.06941469651804492","0.03594704023391236","-0.024503563256705507","0.06729533981946946","-0.005961859722823619","0.07516992162499483","0.019895808147514897","-0.03427520310752849","0.02042665171516598","0.08928435957026856","0.07941842276062051","0.04216907721000161","0.05528007174551288","-0.02029637217112373","-0.033429457737900604","-0.015511639768938407","0.13557052141094605","-0.0134202455752003","-0.0009993487446475055","-0.0359306526090136","-0.025740076316396954","0.019852099999999966"
"TITAN.NS","-0.00708883701866337","0.12898630717532106","-0.07590136115026937","0.1385274809636033","0.08859925812771212","-0.05483532340485525","0.01973090086174335","-0.026653025416239803","0.14060030025417547","-0.04778390763732837","-0.05357572236018115","-0.013191647699157103","-0.023231655927403443","-0.03826733067059228","-0.11758868415918028","0.055792069941369815","-0.022988532830598606","0.08968673162060083","0.05973072929858615","-0.06840428455156593","0.022440016617224882","-0.06236977497120662","0.012287670826786695","0.08307551407134556","-0.022847750138532397","0.12971462726099342","0.04053218007819495","-0.020838236284825888","-0.01668679900345607","-0.08337432423709643","-0.1282533336763251","0.027854849781015826","0.10780047568974552","0.18434927505953533","0.048385229955132926","0.05605744437758498","-0.029684539800835835","0.131081369529272","0.01792623428827968","0.13748034196575556","-0.021923355532521088","0.062328145145584116","0.2632363315529496","0.058615309897742184","-0.02516275875518584","-0.025030091016154804","0.16526783011669682","0.021607889542698353","-0.06687401613572366","-0.002888906520797317","0.026705658538942977","-0.005014417747147758","-0.11284579567241852","0.05520223772769361","0.09573408256912765","-0.008811748998664886","0.06848059051724137","0.030053944189044744","0.09693053539563602","0.01588793536065561"
"BPCL.NS","0.07591336814976989","0.06129056200164731","-0.020775092415969466","0.22083671648516204","-0.0010720712422785537","0.10905869757408035","0.02803819778770871","-0.12111241985799275","0.1443733547372953","0.04120607795393764","0.031689487327295845","-0.025493561596191497","0.09831830052919059","0.03159804546278408","0.02348110811591097","0.028891674541759713","-0.00955598083109674","0.019531146602739635","0.06985557294160098","-0.039295500610341566","-0.01774458783935123","-0.058088325808271044","0.1329879547857292","0.09275752311384344","0.018101156719891008","0.15767262541691204","0.08906172105884345","-0.013118075250995332","0.06978530741355607","0.0771014696399204","-0.06988085137952031","0.018444039148059595","0.08157628321665956","-0.0070288259000572985","-0.03191980751091793","0.1589121519789594","-0.001147631393704922","-0.11947179052494539","0.1217371359337759","0.10667222156744298","-0.10895064038515677","0.12728422568107456","-0.08040020118400514","0.024576995832829202","-0.035882769185148516","-0.069706146574102","-0.04186463506572985","-0.10025979905761943","0.07428796127917023","-0.0978619270156572","0.07258933902013426","-0.07279375962783195","0.022910300018588334","-0.23048727058253246","0.14288236466110063","0.1335081771221631","-0.07135072263837638","0.048626047559806394","0.13249532607988418","-0.03431993418198413"
"NTPC.NS","0.23162876416255015","-0.029199432487468455","-0.08958106221758426","0.0077098082459851084","-0.0046556735186812775","0.062204956776575046","-0.05111188828808624","0.01640522075670642","-0.002805084997525608","0.1299089331899112","-0.07367012795811298","0.031130926533385447","-0.09058111995414199","-0.0018015192692148639","-0.023496758424528988","-0.10959454809930153","0.04588659205620979","0.0744872131138024","-0.00037069967113937774","0.08933238741495308","-0.029414393587209958","-0.11049913484054011","0.0577972926760393","0.06617305168108782","0.04366948435539609","0.08402485247588515","0.01690336780060831","-0.0040726302952757264","-0.03882351065833849","0.029219270584865457","0.04451600180858456","0.017907037788916516","0.037019700439081656","-0.04659466528236948","0.029379034443548706","-0.015487399874425146","-0.008942582124197684","-0.024276491506142937","0.05391015203425587","0.01845742513053986","0.01646607276218843","0.07333986261544823","0.0030406313585412295","-0.026197624809909593","-0.042480771423741216","-0.016295166327063185","0.04540151528527506","0.0","-0.03550718056919331","-0.06571346668706776","0.011722541331502452","0.09108745451474588","0.01797104711176971","-0.07429261704718036","-0.07706765480400182","0.026227725707054176","-0.05749814872998294","0.053106957152402816","0.13370317285825778","-0.014803848343278385"
"ONGC.NS","0.05547479415989417","0.058941427252064985","-0.08685895697514666","0.13769621935015144","-0.08272009199720538","0.0042187723018445224","-0.09912134174032541","-0.034874237436905285","0.01685498712924464","-0.08517675677720829","-0.023866210660049934","0.07146345256526138","-0.012941798736693773","-0.031471891841141054","-0.12822845293584428","-0.144524422757629","-0.004165956552187702","0.0647706981297653","-0.02118995232106155","0.029286918151755326","-0.07196279513423663","-0.14907392411996603","0.09628288601763128","0.04286670257616088","-0.032610788170358895","0.06812504344963213","-0.027553469079264748","0.10360747730383524","0.09996018311281578","0.11104904545976205","0.03558783371997317","-0.01292297575056682","0.041352352175449886","-0.020645143206918907","-0.041527114966586266","0.03552206330631133","-0.09563405212822708","-0.08563210043041256","0.05216824801106161","-0.0445040419445549","0.07200984672765695","0.11924990688937968","-0.04417156913140108","0.07069320513485734","0.013256893808370779","-0.026680291827435178","-0.03964389619283986","0.0005557526659188599","-0.038045027357840676","-0.1021939213008392","0.07524108293759942","0.060406753363708786","0.01748710846297756","-0.13826824024198167","-0.07617499264409942","0.042105275951747435","-0.04511786272294474","0.09015201235231193","0.061351144756133645","0.07408581240063589"
